timestamp,​0xd5eDdc655482e70706F669A1A184FFC41BDE8ce1,​0xE00Da71C87BeFc0CB4e4b83Ef9abbE754Ca71043,​0x7cc78773Cf63b47cbbc5aAd573ace669d3AB4FeB,​0x36d8756f5ec3A24A8A332c89F82ED9CB63C64a92,​0x2B92ea96dd34e60C659475C470f2cB36367bba03,​0xaf9113E558618deDE3a3189Cc08Daf662612a7F3,​0xC5320Dc3956484662cF3FE3B9355AEA93729783D,​0x86AdC7A944356512c62DfE17356bBf65c43922BB,​0x92D1CcAb4E8cd24b224C50CA005680544A3409Ce,​0x09622b15409C17F93A2aB5407C9E2D5a4Cd26cB5,​0x0dB9849a882CAEc1F0f3E9EBCa8C1D0BE1156b55,​0x97deC872013f6B5fB443861090ad931542878126,​0x2870fa7c3C615f324151a88B10f0e1455Ee292D8,​0x738654004a72e5C316Cb6C024bbda72f5bbBa817,​0x9096410692868EA33F77Ff1Ca3Ae3d9948FAf82C,​0x0A3f555E86bd8BF094db26Ca9B8273453D4F3A11,​0xD6956Db6Eedf098f93Ce200968De4CA8cA37EAc1,​0x3958B4eC427F8fa24eB60F42821760e88d485f7F,​0x4d73FA10dc78AeaA6C77c7E70aC3ea3faAEFB5E8,​0x9d364051d6dF88893489b58c559290C0ff466Db6,​0x0Ac0A666ECE6C5EEE85B60A6c73A66d353680B74,​0xb8E17eDcD44E3CC08ABD1BF678C4C75A14d3E001,​0x6794471ebC084A4ca462C506AfEaBb93d9657c25,​0x35D1223CB4bd658c03A80a92c38BCdC60A965f5e,​0x766f8A08dD048858cE1C139D87e74728f1E01e99,​0x74F1CF05B5867CB8D8c460e2eCf2bD1A7970b60D,​0x2e7e21f1f20385Ea7d0ef6ae23D7AB9AAa0fBcC5,​0x9AFFBBe4569C2f77e18c0EeC6f2d22AFc9eC3888,​0x9cC47Fe67488eA4c2b9ef31d78Bf266B03ca770d,​0x11B93B2395f02C3E0792dE21Cbaf32D253Ffe4a7,​0xA2B40e1cC6bA02c980e39534f5ce43Fd20d8A755,​0x208F8BBEf87a00674C834B830f64151D63e45963,​0xE0aBA8291C1A83B2310d2D3036eA64f907CC7eA3,​0x6c8Ae8d742C23df046162f90D8804a5a6b02E517,​0x693c188E40F760ecF00d2946ef45260b84FBc43e,​0x58810dd11EdEcdE372555dfD7da7C8f0A0B467B8,​0x14c5fBcB7511780102BA955B1cc4F49Ae1d39bF4,​0xA516c0782505991f8cC0280a82808A425308C65e,​0x7cA4db5B87522561AF454617a9e82955C7791C20,​0xDFf41A727313aD8ddB0e5B1786bCEaCE5604953D,Other
1596006108000,,,,,,,,,,,,0.32,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,
1596207016000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,0.03
1596273444000,,,,,,,,,0.20,,,,,,,,,,,,,,,,0.62,0.20,,,,,,,,,,,,,,,
1596339947000,,,,,,,,,,0.20,,,,,,,,,,,,,,,0.40,,0.04,,,,,,,,,,,,,,0.00
1596406368000,,,,,,,,,,0.17,,,,,,,,,,,,,,,0.44,,,,,,,0.40,,,,,,,,,
1596473308000,,,,,,,,,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,
1596540683000,,,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1596606713000,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1596674074000,0.10,0.04,,,,,,1.15,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,0.95,,,,
1596740019000,0.42,,,,,,,,,,,,,,,,,0.61,,0.36,,,,,,,,,,0.93,,,1.12,,,0.05,,,,,
1596807570000,1.77,,,,,,0.19,2.22,,,0.14,0.63,0.96,0.20,,,,,0.25,,0.52,,,,,,,,,0.71,,,,,,0.04,,,,,
1596874169000,1.45,0.07,,,0.06,,,,,,0.12,,0.41,,,,,,,0.25,,,,,1.40,,,,,,,,,,,,,,,,
1596940389000,0.59,,,0.19,,,,1.17,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,
