timestamp,​0x8CE38d644Dd028F8f8025c4fa993Dd9A6F0e58be,​0x2704eCfaBcF3ca07B10F151bB4A05e602d8221a1,​0xb9c0C4466AFa9DB394d841Ec1d3cB8B804A5fADF,​0xBa9c5381903a38ff6686a0C39512b03DaC609107,​0xeaa40F6B29CE35d8F53f6bF9b2A7397E3D8475Af,​0x5CCbb4C11F4ECe1e0F45cC19e5a8B534d2d08DB9,​0x0Edc2ef754EE9428938093ae538b845c79FA71c8,​0x2C959d590574304C61cEe88144c3805E294e9528,​0x55013F04e971Cb601489b5b16B29A5849Bf33377,​0xf56036f6a5D9b9991c209DcbC9C40b2C1cD46540,​0x5fEf57EC758aBdA7c9Ca42F2C3Ae4101B0EE44FF,​0xb907795ADd7D07077B0567336bb5fea6a78ef10c,​0x8ab1c5f7f85A01fD7F99795Bb0b5fB54F06AfCa8,​0xaFbD82B33E0fB070Da19684bE3f3db03D62Edb21,​0x0De35b8B1692D168D9af70760EC1CbF607901F25,​0x0fd9C18518fe793E02E20ADEBF4515600cBF8BA4,​0x3D92bb54343763cA731e1D07EFb245D766dBF886,​0x62b85F0Dd05b3b0Ee8Ec0d4F3787486527eBdDb6,​0x8BA4d6aF19c3D81Aa007ca9476f726896dAB14D0,​0xF49987aA14423e9a379F58D56773D41f29de9c03,​0xcbFDd0cF2DbF60e79Fe5CCa56F9cB34Fe270EfF8,​0x3BFFe09239a9C6f8edD82bD492E8FC5e33BeF2FB,​0xB936C6A79F96a14bF49b5Ad8B57Ad5A00bbe54Bf,​0xbAa6cf7557362b1d3EE432A6048c4988C55f5A9C,​0xd4D350e0e7730660E6CDF532d613CDfe775d6513,​0x68FCF4D9D06F8D2185292F7B6c5Ce171A70C990E,​0x7d4Ba61DF007Ff68A89281E918CC502Ae1a18403,​0x3017f3D68A35a3Bf9FadD6D1066850AAE89931dd,​0xdA56a88175D4c8707C51DF845f838cF3fE070870,​0x09dBA5cA728e908AA95e4F8596B0F5d48AFF24DC,​0xeC780f8d84F98fd79bBa4948Ad1663AB126E7565,​0x136F4B5b6A306091b280E3F251fa0E21b1280Cd5,​0x556754785B5428cB5C04B798Ea993e5d3c550A66,​0x535cE0E0860B466EeD6b7b7305f3233C17b67964,​0x9403673a56825ab27CDa3812ce35b6cA029510cD,​0xD388BD277F390Cb36A90DEf9771c47869b266BAE,​0xeE51be4d4C5ed7FaC3cDE7b3019F777b446AB534,​0x7604484C7EE1D95d39471dC76eB7Bae57BdEdFAC,​0xDf3214b148b715d53f2579bBD2bC75Ff2074A4BC,​0xF6DC43BA328AffEc2AfeBDA472aC6977200Da957,​0x0F94e2a44CED2a368DA8a1EdEAa337F13A8560D0,​0xBd7041c03B68467a55596F375c3e4Bb716406a23,​0xB488E937beD889d2b4939cb718e37D8583Ded768,​0x17559a8138E72C6Ef34512b11685dedC509BaDcf,​0xD8595ac2836B7a8040f046E751B42088436B6365,​0x83Cc384056Ff5890D48fA55e368fC1172576Efc0,​0xa7E3058e7C4eB1b18a4c18C69983daA8D724bd28,​0x97deC872013f6B5fB443861090ad931542878126,​0x742B278560F91C762ad1f0580b37Ec3C91592099,​0x533D94255aDABE5F9AC7d6755ebCe1e93a00AfC7,​0xB7654a48aB7D151fd77fEAE7a147750A754F5284,​0xB972588020a28a9DF58e4b3025c436c5264BdFA6,​0x51f4f6BB08338BF315D895Acec4695B8Ab12Ba30,​0x04EeA222B3CC6F1F667915E952539eCa8468b3FE,​0xE7D6989D02dB48c4ffC663b0F770125088C2E6e5,​0x2Fd672Bc279C292cF9f5C4F0541Ebf406aC9C723,​0x24956c5AfDAd5E7E9B78CD25fafd20e1c7E5900A,​0x4294D6166B7937CDB4d561399fe0EF061D46E9D7,​0x4ff10Fc3b8A2d0bBa351Bf874fA245518613eA87,​0x523E1b1255a60AcD4e0A31b3f4B1241CdbC4e064,​0xB63387022Ff1843d4E332e518d8f885683C7D00F,​0xE261EA453deb26da17B4918427A944D6e893e2F8,​0x570Af957165DE2de810642628933Dc6299230261,​0x9639518DC50f204238228f49bC7B29225d08590d,​0xdF3E6d2E3beB5A471EE1CE6b3F9b846C12888BF5,​0xBb14766b9455C10B2D583427D586954Bce20E703,​0x18Aaa5432CD35cf041e456C0fe224D43c9f5D2A8,​0x05e15f2B6e3BF8eF76d80F0398eB511c9C76f052,​0xd064c7d52ac3c789772fF294618906912141E940,​0x7E734A7B05461242f1F386F730d99F13d918b1E6,​0xEafE863757a2b2a2c5C3f71988b7D59329d09A78,​0x453F36DD4Cfcead6b7627472239440984D553d73,​0xF3b9640c32590bfB94b848F9Dc5A84127f91Fe33,​0x6aF1Da708459bd988164B9fA28FAf944f2F9BaFF,​0xd2e51A95d3D39006D8ed934720b1DdE0716a9EB5,​0x3C6DB56038F941583190209a5276EA2530185753,​0x7F9461F51a2c16aD93aDd9Fd97251Ee02aD5A6de,​0x5E27cB5f55Ffb5180376e926D09F2387f689f76f,​0xB334F9B909F8A930e0001C798EE2e1a40314045E,​0x894454ecc032D50E12C5a9164B79C39A237DF8C6,​0xd3f714357A3A5AB971941ca475a006814EDd0d2B,​0xf3453f0a63f72BEE573449d446895C805920A4b1,​0xE27ff99806b5C7eb2f0F82af3fB1408cD19f9230,​0x7aB0901ed577B571d65E3ee19E8D8199728b41eD,​0xEA1B49aC4a80cE9f2D15e3881A18FFb4bC7556B1,​0x693c188E40F760ecF00d2946ef45260b84FBc43e,​0x538479773113C4f019F9f611C582BC5B246D4E5B,​0xE0AEB3bEC9E7fC818ba6E9d87Fb6A362D2924135,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0x248535910a53B798eD5961396A1B007275728319,​0xdF661Cf3605f473124A34699828AC07F211BDBE7,​0x16027fCA7230f8C5cD7dd8cf4a3AB6Ec61238C20,​0x3953017AF23aB99a7d40f3D26F1595f27c91345f,​0xD21c8D2ed78c25fAde8966c42F1cEC79288c205d,​0xdEdd6D6Eb6056470d687c832c477b8770aC20ed5,​0x20F51adEa3990fC6683dd76ce2d41eeb7fC4cf88,​0x9175e0e8434CB6c5cc45A64f8A80F66Ec81B47BF,​0xf48A60dF3b572624624A8400EA8f41DEEc029787,Other
1594266589000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1594400599000,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1594467342000,,,,,,,,,,,,,,,,,,,,,,,,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1594534363000,,,,,,,,,,,,,,,,,,,,,,,,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1594600559000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1594667176000,,,,,,,,,,,,,,,,,,,,,,,,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1594801444000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03
1595002354000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1595068938000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,,,,,,,,
1595202619000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53,,,,,,,,,,,,,,,,,,
1596273444000,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1596406368000,,,,,,,,,,,,,,,,,,,,,,,,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1596540683000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06
1597406581000,,,,,,,,,,,,,,,,,,,,,,,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1598404244000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26
1599263811000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1599594452000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,
