timestamp,​0xe9a5bbe41dc63D555E06746b047d624E3343EA52,​0x156256067566DE2f94aEDBC25fb420F54B2f3D93,​0xE0D7acD1EEd0aC33717A6785BaD9E62c9CB5D218,​0xdf3922e7FeAb26e3b43F00E96157569Bb559948F,​0x52a514459e733110dFA8595fD8D23938E5690aB8,​0x76DaC808251815DDC1D2EE744A63aCff27fE753D,​0x8E949B62a177452f5B327B539eAA63802a3ab6A4,​0xe28ffAC44B0c430aa3e62a9bC211f7d825D6c1f9,​0x5aB9d116a53EF41063E3EaE26A7eBe736720E9bA,​0x0C2Ae202b4bF4b8B13924d5bbd4460fA924C0dc7,​0x5Be5b30A720093C9d1B1E6CF8441280a48a495F8,​0x860bd2dba9Cd475A61E6d1b45e16c365F6D78F66,​0xb908258280dCd92566BBd18FaBb2a8Baf42406a7,​0x97deC872013f6B5fB443861090ad931542878126,​0xF136CEC06920648B2F1A8C2775A3F030CeD4420b,​0xA825CAE02B310E9901b4776806CE25db520c8642,​0x005FdE5294199d5C3Eb5Eb7a6E51954123b74b1c,​0x3df2001E2E7CA378Bb6f6B3b1C58b803b0d397C0,​0xD2feA5Aa936Dd66b288D3Da5a8679c67c9f412Fd,​0x5e342E9D0EbB3861863A6AAE1840f39A023B98e9,​0x60A92bA00bbF3bfaa752130d74DDc7174fCc5907,​0xe9519677e6ec8D2D6BFaB92A059529feA6075d37,​0xb207298caB29a12419F2467Cd629733Ca7a63d78,​0x3586F8eD699EBAd8404F324BC9A4435c1c5ad75a,​0x6459B8F7454670B9aba9E009cf468b7d99103e17,​0x123D846EC703185Cfc53b48C8345f6A42C7c9B56,​0xb146907392eD12031F7715B0376833E3f7C5b98c,​0x224BEbfCd4c85fc2A9EF5c1cC7468af4b90a23aa,​0x26788c128D1D1E442401aeFE28C8b578e2107909,​0x805789F4B7571D1b5479D79Bf4213adB46509811,​0x31fA3643F5CEF78C1790d494d7E3F2a59E2ad0c4,​0x003c14AB2E25EA56E6e19c3aAEA5A7443B8d0b50,​0x81EbA9C6dE7FCc54a10dfFFa25B8b5eCb698F5aB,​0x296aE01492Ba97dd713f9A53732255e3E1830Af4,​0x4956fd7D2e07Ea1ee8D0Aa6AA9364C0270bA6660,​0x15357Bbe6e541395e3F279Cfa60cAeABF89C3FbA,​0x00000000Af5A61acAf76190794E3fdf1289288A1,​0x2406A9333378E30B9581B8356bb81B4f9BDFF005,​0xfDa5Cbb4F632FF86f5aa45e9DE9f6E0d29F11C4E,​0x09cabEC1eAd1c0Ba254B09efb3EE13841712bE14,​0x1c81637f2a5C18a02d461d865708A78E83388530,​0xfc96e234d4B31C63051E707105fCC4aba37807Fa,​0x64A9edD3f5fce0252Cd708E26c8dd11205742826,​0x4DcEd7d9Ea3bC9F2fdc94Bf4114140c074B9053e,​0x6794471ebC084A4ca462C506AfEaBb93d9657c25,​0xDE8fb7cDC11c61D38437f2C9737e4e9F9c4dbf6E,​0x46118D5134A9719B668F3389c7EaA32b55DA6224,​0x26E068650ae54b6c1b149e1B926634b07e137b9F,​0x66238AC1CaC8787F00C35cC500b1B187a8DEEA87,​0x766f8A08dD048858cE1C139D87e74728f1E01e99,​0x3969B0B46bb0a87C4F2052d709743e799f3181Bb,​0x1aEC8F11A7E78dC22477e91Ed924Fab46e3A88Fd,​0xa6a3B590736A4Ef0065c3AE59AA0285ae53Efcf2,​0x701564Aa6E26816147D4fa211a0779F1B774Bb9B,​0x4F30E682D0541eAC91748bd38A648d759261b8f3,​0x693c188E40F760ecF00d2946ef45260b84FBc43e,​0x86e283Cab263B49256924d4232532ae4531Ff0Bb,​0x8Ebd10FE696288c6ED1E024064FDF54541Aa63e0,​0x2D48ff17252A19dDaC3F5E7276081e35402a9cc4,​0xdA56a88175D4c8707C51DF845f838cF3fE070870,​0xB958a8f59AC6145851729F73c7A6968311d8B633,​0xE0efC78BBb6E8E1AdC669A7BF4B504cc37c4932B,​0xF173214C720f58E03e194085B1DB28B50aCDeeaD,​0xf8b00D78974d8eD71526d3a28D1148AaD26b438E,​0x87Db9a5Fc0c03f4099c6A391Ef42a208048aD105,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0x11111254369792b2Ca5d084aB5eEA397cA8fa48B,​0x18fa3D53A65385939fbbCEd2487CA9b286b236f8,​0x31e5a127a21ddEcB9E96b99b69C603bECe72ed64,​0x5035Ec3D4B1d1e8f1513aFEd634b5167FdfF22BB,​0xB42C464652683B3e8C725e9AEAE096c3179a4A5c,​0x804F18D266780c2271065f651e96B0dc982Cc024,​0x3CC9063E7AC5fa8345e1F59bC32a470ccd30cA6d,​0xdEF7E5581AD454E57dfc027e3465F3Aa082Bd5cA,​0x0f16a8557df61daCf3C6Be21a41a72D2a848B854,​0x17559a8138E72C6Ef34512b11685dedC509BaDcf,​0xD79d821EF646626430995f67885904856e43eE17,​0x006004fFA18E3cf78fA3b50393ec44C1ab89cF6c,Other
1560668105000,,,,,,,,,,,,,,,,,,2.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1560734814000,,,,,,,,,,,,,,,,,,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,
1560802452000,,,,,,,,,,,,,,,,,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,
1560870679000,,,,,,,,,,,,,,,,,,4.51,,,,,,,,,,,,,,,,,,,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.48,
1560937524000,,,,,,,,,,,,,,,,,,2.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561005597000,,,,,,,,,,,,,,,,,,1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561073016000,,,,,,,,,,,,,,,,,,4.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.09,
1561140851000,,,,,,,,,,,,,,,,,,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.39,
1561208281000,,,,,,,,,,,,,,,,,,1.42,,,,,,,,,0.85,,,,0.80,,,,,,,,,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561275287000,,,,,,,,,,,,,,,,,,4.09,,,,,,,,,,,,,,,,,,,,,,,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44,,,,,,,,,,,
1561342449000,,,,,,,,,,,,,,,,,,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561409629000,,,,,,,,,,,,,,,,,,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561543836000,,,,,,,,,,,,,,,,,,2.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561611356000,,,,,,,,,,,,,,,,,,2.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561679479000,,,,,,,,,,,,,,,,,,1.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561747149000,,,,,,,,,,,,,,,,,,4.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07
1561814305000,,,,,,,,,,,,,,,,,,3.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561881035000,,,,,,,,,,,,,,,,,,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1562015969000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,0.74,,,,,,,,,,,,,,,,,,,,,,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,
1562150796000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1562218341000,,,,,,,,,,,,,,,,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1562419899000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78,,,,,,,,,,,,,,,,,,0.50
1562486913000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.77,
1562553800000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82,,,,0.81,,,,,,,,,0.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1562755228000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52,,,,,,,3.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1562957966000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.30,,,,,,,,,,,,,0.72,,,,,,,,,,,,,,,,,,
1563091362000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09
1563362708000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1572476793000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1574606767000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42,,,,,,,,,,,,,,,,,,,0.60
1577488582000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,
1579848954000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1579915579000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1580247630000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1581707956000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,
1582173039000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1582240159000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1582306851000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1582771019000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1582837876000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1583368317000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1583966404000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36
1584500082000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1584566455000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1584699859000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1585239172000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1585637238000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,
1586236183000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1586368858000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02
1586501245000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03
1586833705000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1587099968000,,,,,,,4.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587167698000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,1.04,,,,,,,,,,,,,,,,,,,,,
1587234387000,,,,,,,,,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587300847000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10,,,,,,,,,,,,,,,,,,,,,,,,,0.31
1587368133000,,,,,,,,,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.36,,,,,,,,,0.10,,,,2.45,,,,,,,,,5.00,,,,,,,,,,,,
1587434258000,,,,,,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.03,,,,,,,,,,,,
1587501138000,,,,,,,,,1.00,,,,,,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587568237000,,,,,,0.49,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,
1587634602000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1587701744000,,,,,,,,,6.36,,,,,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.08,,,2.05,,,,,,,,,,,,0.00
1587768625000,,,,,,,,,3.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44,,,,,0.50,,,,,1.08,,,1.69,,,,,,,,,,,,0.06
1587836062000,,,,,,,,,1.09,,,,,0.69,,,,,,,,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,,,,,,,,0.58,,,,,,,6.38,,,,,,,,,1.50,,,0.06
1587902337000,,,,,,,,,2.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.80,,,,,,,,,,,,,,1.18,,,0.80,,,,,,,,,,,,0.35
1587969951000,,,,,,,,,3.41,,,,,0.76,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,0.58,,,,,,,,,1.00,,,,,1.24,,,3.53,,,,,,,2.61,,,,,0.13
1588036978000,,,,,,,,,4.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,1.16,,,,,,,,,,,,,,,
1588104246000,,,,,31.84,,,,25.27,,,,,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,,,,,3.05,,,,,,,,,,2.64,,,,1.10,,,1.00,,,,,,,,,,,,
1588170340000,,0.93,,,4.66,,,,3.95,,,,,1.93,,,,,,,,,,,,,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,,,,,,,,,,,,,,,,,,,0.30
1588237076000,,,,,,,,,3.72,,,,,,,,,,,,,,,,1.02,,,,,,,,,,,,,,,,,,,,,,,,,0.91,,,,,,,,,,0.31,,,,1.17,,,2.12,,,,,2.50,,,,,,,
1588305064000,,,,,,,,,9.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.15,,,2.28,,,,,,,,,,,,0.31
1588371539000,,,,,,,,,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.15,,0.07,1.00,,,,,,,,,,,,
