timestamp,​0xA9A7E2745AfE4539f086B33f3C04FE93Cd5e434f,​0x12E567418f215FBC98169232aD0c90D98D6C4989,​0x479f422fF5d5751647115CCa0B875ebf40f505E8,​0x9DE2A94581bD5703e93794A63d11249A0D9Ba61d,​0x263FC4d9Eb6da1ED296ea6d189b41e546a188D8A,​0xB448D8915B9a91f5C0D3B9dBE74b18fA8dA31dBa,​0x4dfAD535d978DCd7b5A158502564423c279AcCc2,​0x395d5881Be6CA42D96BA01A2De69416F10CEbe29,​0xBA5554b9739dE92ffCC3F7B26d26E76DE3dbA190,​0xc1758EEa027f8D92e6ddd13d17e19E592845188a,​0xcfbD73A1404A2CBf956e9E506ff5006601BCd2A4,​0xDD24384e0cFdb37d03Be0d364fF1B43D48B7d1Da,​0x1Dbef45c0Ec6B5964c0b5Df8C27E6d35d3EA342f,​0xd1D9ef757bA13817165279A200b9D46edEB29d36,​0x4161574d054c35C17023E3B87210EA6dA129dE9f,​0x7b7F2157da8c0E749137E4E062A5392B0461bcCB,​0x155A5b7A6e5C494ebefa28c631eBeBc361410166,​0xCB41A3EC3165775e5eE8D71272C0676F5a920b7B,​0x167Aa837869d73226979E2F3Acb03eBc10eC486c,​0x5b662C29d5C764e5f457f52e3252684Eca3786A8,​0xEE94EFE4BF9faaAc5667e72f165454B928fD868D,​0xb491a2A85c84c3c07545a01F74e0C61a48B51168,​0xd36AaB03676F519ed49C1863cc6003E9bBb1e1f4,​0xb8E17eDcD44E3CC08ABD1BF678C4C75A14d3E001,​0xa50d0f016B4820699Eb6Bd90449e8129bBe31d49,​0xF7E60606eBB878D98BcCa648FE26F690f14593d9,​0x9C7c587A102ce571C5ea4483b744B840393B624D,​0xb99A23b1a4585fc56d0EC3B76528C27cAd427473,​0xA2881A90Bf33F03E7a3f803765Cd2ED5c8928dFb,​0x2e215462301587e621C7292F7D9668041cbCE915,​0xC01BCf19BC7ABe538DBcA1d35a73EFe3fBD0D657,​0x52a03D5d2BB8a30585dFc59904C799B27a03A56e,​0x693c188E40F760ecF00d2946ef45260b84FBc43e,​0x9997C9Da7a2192B3bbfAf7f6a1000a53026B71eB,​0xCC66a1062aA1CA5Ca79E9a1A13982311bDb2F505,​0xb949Dc02D87Ed7D698528926986509E17124Cb96,​0x387182b91570E70d091e9A2078c02b326733869C,​0x860bd2dba9Cd475A61E6d1b45e16c365F6D78F66,​0x2940c7BCA467bAB3647213240B40ded5ca746e78,​0x9aC89AD623D9deAb1F4C3C63Eb0A0393a9B41dD8,​0x88dF0C3092C03753a04416eDE04dDeE655FCEB70,​0x8f4FEb6ccB497F6290b0D9cC4A9B8157A5caC806,​0xb16A8919145cA6a300a57B16b159d2748e107704,​0x97e89aF7cBCC1dF347F63fAeb55dedD2F60f27Db,​0x8018280076d7fA2cAa1147e441352E8a89e1DDbe,​0x68c672c718323Cf6D11E0c27d2968f1cA4FA9d45,​0x2d7846C22511e952F4747737225BF81ad968bbc2,​0x2C29764c1De37b5451816F935E749c7623E3B883,​0x8376B14104dBf0642a3c2Adfa33793cFcb0B8d76,​0xFE61aFcbb31AaA6Db74F2d141CD8515AC7b67EbE,​0x240DDB16c5E4257505B0b6a7820314e483Cd1715,​0xDa28Ca49A432F74517D23Ecd2821270bA49418b8,​0x843a52d3578CB7774E9F29739f7fBCc1269f4e75,​0x87F1d643348d1E6EdF4259530eF65c346827fe89,​0x591E9F22E2e925A5FEBbBF9DA7e7A632e877FE5c,​0x4286CE4342eaB9C5d816E841EB1547CD1937360e,​0xa893e2816e3dDCc270DFEF6d0Aa771053e16a567,​0x2aa9C6ad73Beb72630BaC1953372089828658451,​0x8496DADBA8Df94C44bCeDAE813DDd3Df11C45F37,​0x1F1dDd6734b8C077b87870FE86b2B732839340b2,​0xCD1A6693aDBF5e19c4BdbAee6D370E374e2a02B0,​0x95328D98630779834f3e46f78F900042bC2bDD15,Other
1587167698000,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1587234387000,,,0.05,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587300847000,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,
1587368133000,,,,,,,,,,,,,0.04,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,0.01,,,0.05,,
1587434258000,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,0.00,,,,0.02
1587501138000,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587568237000,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1587634602000,,,,,,,,,,,,,,,0.01,0.06,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03
1587701744000,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,
1587836062000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03
1587902337000,,,,,,0.04,,,,,,,,,1.00,,0.08,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,0.11,,,,,,,,,,,,0.06,,,,0.04
1587969951000,,,,,,,,,,,,0.10,,,0.05,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1588036978000,,,,,,,,,,,,,,,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,
1588104246000,,,,,,,,,,,,,,,0.15,0.02,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,
1588170340000,,,,,,,,,,,,,,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,0.01,,,,
1588237076000,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,
1588305064000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1588371539000,,0.37,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,0.00,,,,0.00
1588438821000,0.11,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1588506516000,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,
1588572377000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1588638430000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,0.00
1588705743000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,
1588839881000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,
1588972800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1589107927000,,,,,,,,,,0.07,2.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1589174391000,,,,,,,,,,0.18,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10,,,,,,,,,,,,,0.06,,,,,0.05,0.04
1589241093000,,,,,,,,,,0.20,0.32,,,,0.13,,,,,,,,,,,,,,,0.20,,,,,,,0.07,,,,,,,,,,,,,,0.04,,,,,,0.12,,,,0.84,0.22,0.01
1589308656000,,,0.15,,,,,,,0.43,0.50,,,,,,,,,,,,,,0.06,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,0.03,,
1589375621000,,,,,,,,,,0.07,0.60,,,,,,,,,,,,,,,,,,,0.80,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,0.05
1589442351000,,0.30,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,
1589509055000,,,,,,,,,,,0.20,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1589576701000,,,,,,,,,,,0.60,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,0.29,1.00,,,,,
1589644333000,,,,,,,,,,,0.30,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54,,,,,,,,,,0.08,0.20,,,,,
1589711000000,,,,,,,,,,,0.70,,,,0.02,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,0.40,,,,
1589778055000,,,,,,,,,,,0.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,0.03,0.03,,,,,,,,,,,,0.00,,,,
1589845567000,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,
1589913105000,,,,,,,,,,,0.30,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,
1589980117000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,
1590113970000,,,,,,,,,,,,,,,0.29,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,0.03,,,,,,,,,,,0.09,,,,,,0.00
1590181994000,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1590248502000,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,0.04,,,,,0.04,,,,,,,,,,0.04,,,,,,,,,,,,,,,
1590316431000,,,,,,,,,,,0.05,,,,0.02,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,0.01
1590451139000,,,,,,,,,,,0.26,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,0.02,,,0.06,,,,,,,,,,,,,,,,,,,,,,
1590584981000,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1590652494000,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1590786531000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1590853669000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,
1590987649000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,
1591054955000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,
1591122115000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.10,,,
1591323776000,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1591389945000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1591457899000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1591793059000,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,0.10,,,,,,0.01
1591859571000,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1591926628000,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1591993124000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592460543000,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,
1592527754000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,
1592594022000,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592727831000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1593330837000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,
1593933211000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1594000010000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1594467342000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1594534363000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1594734577000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1595604570000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1595805432000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,
1595939151000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1596006108000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1596140024000,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1596273444000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1596406368000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
