timestamp,​0xdb717C08e3Cf48797c2D5CafA19F781cCB5170F6,​0x49327b1EEbF7AEB2Dc10adC8E477EA4016188Ad9,​0xd347695E6c4CF64a575E3235951E986c2628B222,​0x2C2Bf7D00B12310329E3678ED4e965126ebf5388,​0x73c56f05d8AA80B46bE5bE40024d9F550c14aF00,​0x1502fe2710eDeA3f34D06CA5A87b81Af81fE5d03,​0x881e69f2B02Ac176f6bB4627EbB4a64d6437BdC4,​0xD9cEc10dE654f4140f1EDAaB057Cc59229C3A612,​0x91c3dAE5b1D52282cc013C923c8aE61AFed8a349,​0xe0108ffF21F7C0a772C558f8Ef16B0FF599DF340,​0xaa399Be7a246bF29d32ede8771Fd630863d0D450,​0x651299D42a98B5eCC8cC5c2a657F3c3500463375,​0x81F940bdAA8B50f0c508567C7A5150ad1e7E5186,​0x4Cf17437d8D9fa64455Effe5Be4c104Aa75560Ef,​0xA389aFF474aB7A489D4B415DDb3633aB2eD1Fe64,​0xe5F7D18a05FD5AE0c55393cd7004C05c1cfEb593,​0xBe61Fdb546E75DF11da5E9d7B24cc5B8BC86693C,​0x000E13c41a9a12e3cC3040a8845a54da20BdeFEb,​0xD052e4C2364A78f3c959e611113e54B10906F040,​0x145348CB846419D31bb43b6cA767471579424866,​0x240DDB16c5E4257505B0b6a7820314e483Cd1715,​0xBB4263302b19e348122BEb505Fe1B5011bb320Ec,​0xDB72c3bAf7EC645E961DAA57744Ad2a3772d2193,​0x5A5F58471f8EDFD07d05ccC89940f9cAdE8917BF,​0x565CAAaACbD6BFbA836918C32A1f56105CC004Df,​0xEEAF70418b67CB27604a272eeA86651005aB8A6E,​0xEae0dd80c93A6F1163fe7c26491a2B1Bd4D51d87,​0x430768df367793E46024bF7eFBD24A2dc13cf732,​0xd927381c387ADDa63493D53c52406139b6CBC96A,​0x4429d3cEA78cFb8bB85cf7092E8Fdc2f314769aD,​0x6f456B53Ef561952e2949e4c9f945D9b72A67140,​0x42228D66d86c78Ace892A920250E1F9BeAB41C37,​0x322454A9BA1537db0425d2EBf05e551BF0526E06,​0x9F97B7008b2DB0A7dAD0fB6D84600EB2c6aAB171,​0x6C5906819b3DC5db707358D03dB31EB5CcDA4559,​0x6EBDeC242dC0174E992c51f62cC17efFa71B33DC,​0xdA56a88175D4c8707C51DF845f838cF3fE070870,​0x4D3f199Ff9b25a0eB4D695fCe01289Cf01E04ef7,​0xE4C3c99FFED9d53e2bAa8f5a01900b7F82a72525,​0x8596E87B69f49a4386528C2F489882eD1821ae0B,​0x208736141d0d4237d3340Cf3E6Dc138e0a747aeb,​0xEc8aBC0a9f672aD54957e39a97c54830305EcD3c,​0xc1758EEa027f8D92e6ddd13d17e19E592845188a,​0xc78d2f01BC75dea15DEd64121FD6b6ebC5820576,​0x8614C21Ac5c698F9E5C731697a7B95dBE7AdA589,​0x90ff31fe6d57F1f1Bb7f43aE8c1Abf031858bc78,​0xAA8B1AAe823c0E26911a54D9786a8Bdf51751a6A,​0x4a1c9F63385159F37B0dd486f872A640C508aDA6,​0x26CDD8e67b71858eEF229280250Db90598DB68Cd,​0xA78545896b1b6995C76B3F19d6ddcE4F993b9694,​0xD72BBfb29D8F87df700ae3F34DF1DFD935EA0543,​0xF93119Ef12D31dcA64828534D6735F9Fdd6E23E2,Other
1587969951000,,,0.06,,0.05,,0.02,,,,,,,,,,,0.15,,,0.09,,,,,,,,,0.00,,0.04,,,,,,0.00,0.01,,,,0.02,0.01,0.13,,,,0.03,0.05,,,0.07
1588036978000,,,0.00,,0.04,,,0.01,,0.05,,,0.09,,,0.02,,0.13,,,0.03,0.56,,,0.00,,,,,0.12,0.01,0.25,,,,0.00,,0.02,0.01,0.00,,,,0.05,,0.01,,,0.33,0.02,,0.01,0.08
1588104246000,,,0.02,0.03,,,,0.04,0.00,0.01,0.02,,,0.00,,,0.01,0.51,,,0.01,0.69,0.00,,,,,,,,,0.33,,,,,,0.04,,0.00,,0.00,0.01,,,0.01,,,0.30,0.03,,,0.07
1588170340000,0.10,,0.01,0.01,,,,0.00,0.04,0.03,0.01,,0.01,,,0.06,,0.16,,,,0.21,0.01,,0.01,,,,,,,0.03,,,0.02,,,,,0.06,,,,,,0.04,,,0.07,0.01,,0.03,0.06
1588237076000,0.00,,0.05,0.02,0.00,,,,0.00,0.03,0.04,,,,,0.07,,0.13,,,,0.22,,,0.01,,,,,0.04,,0.00,,,,,,,,,,,,,,,,0.01,0.08,,,,0.02
1588305064000,,,0.05,,,,,,,,0.01,,,,,0.05,,0.07,,,,0.24,,,0.01,,,,,0.03,,0.06,,,,,,,,,,,0.01,,,0.01,,,0.02,,,,0.04
1588371539000,,,,,,,0.01,0.00,,,0.05,,,,,,,0.31,,0.00,0.06,0.20,0.01,,,,,,,0.02,,0.00,,,0.04,,,,,,,,0.01,,,0.01,,,0.02,,,,0.02
1588438821000,,,,,,0.05,,,,,0.05,,,,,,,0.06,,,0.06,0.08,,,,,,,,,,0.08,,,,,,,,,,,0.01,,,0.01,,,0.03,,,,0.00
1588506516000,,,,,,,,,,,,,,,,,,0.13,,,0.01,0.05,,,,,,,0.05,0.01,,0.04,,,,,,,,,,,,,,,,,0.59,,,,0.03
1588572377000,,,0.01,,,,,,,,0.03,,,,,,,0.10,,,,0.18,,,,,0.00,0.01,,,,0.06,,,,,,,,,,,0.02,,,,,,0.50,,,,0.02
1588638430000,,,0.01,,,,,,,,0.03,,,,,,,0.04,0.07,,0.03,0.03,,,,,,0.29,,0.01,,,,,,,,,,,0.11,,,,,,,,0.40,,,,0.02
1588705743000,,,,,,,,,,,0.02,,,,,,,0.06,,,,0.15,,,,,,0.23,,,,,,,,,,,,,,,,,,0.03,,,0.42,,,,0.02
1588771981000,,,,,,,0.00,,,,0.01,,,,,,,,,,0.04,0.05,,,,,,0.12,,,,,,,,,,0.00,,,,,0.04,,,,,0.01,0.22,,,,0.02
1588839881000,,,,,,0.02,,,,,,,,,,,,,,0.00,0.02,0.15,,,,,,0.11,,,,0.01,,,,,,,,,,,,,,0.02,,,0.07,,,,0.03
1588906152000,,,0.02,,,0.00,0.00,,,,,,,,,,,0.01,,,0.01,,,0.02,,,,0.03,,0.00,,,,,,,,,,,,,,,,,,,0.15,,,,0.00
1588972800000,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,0.02,,,,0.00
1589040204000,,0.06,,,,,,,,,,,,,,,,,,,,0.03,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,0.03,,,,0.01
1589107927000,,,,,,,,,,,0.03,,,,,,,0.05,,,0.32,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,0.03
1589174391000,,,,,,0.01,,,,,,,,,,,,,,,0.22,0.64,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,0.03,,,,0.03
1589241093000,,,,,,0.00,,,,,,,,,,,,,,,0.14,0.09,,,,,,,,0.01,,,,,,,,,,,,,,,,,,0.01,0.01,,,,0.01
1589308656000,,,,0.01,,,,,,,,,,,,,,,,,0.15,0.23,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,0.10,,,,0.01
1589375621000,,,,,,0.00,,,,,0.01,,,,,,,0.02,,,0.20,0.27,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,
1589442351000,,,,,,,,,,,,,,,,,,,,,0.34,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1589509055000,,,,,,,,,,,,,,,,,,,,,0.11,0.81,,,,,,0.04,0.21,,,,,,,,,,,,,,,,,,,,,,,,0.00
1589576701000,,,,,,0.00,,,,,,,,,,,0.50,,,,0.12,0.51,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,0.02,,,,0.00
1589644333000,,,,,,,,,,,,,,,,,0.17,,,,0.12,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,0.05,,,,0.02
