provider,eth
​0x5db1CEEbbD03d85b1439400853144eaFc459632B,3.79
​0xA43Ce8Cc89Eff3AA5593c742fC56A30Ef2427CB0,3.02
​0xE199D2f7cB1CF8aC7BA05fe1de5b01D320d1350B,1.94
​0x38E441033C40c99A878B5058aF7ec45Ff4b50198,1.53
​0x270d2924cA13F54632601647FB225DB8eb61fB49,1.34
​0x4edaf9D6B34B1Eb3Ca712054dEd4C87Af9c4969b,1.10
​0x3CC9063E7AC5fa8345e1F59bC32a470ccd30cA6d,1.02
​0x27d360cd6D45eE4093389c60f515a723F67809a2,0.62
​0xfC5bE65E67Bf016e414Db1655133529033f0FA15,0.35
​0x1a07870f11b7a6A88856df084eAAcaCc1C08dcd7,0.20
​0x5FF495AeA9b0182B74bb13a1fE8Bae3322BDe82F,0.18
​0x7Ea029b1760C7d91266234bC38a87E29a4641e5C,0.17
​0x45f1E5D98b7C338cd7CdcbceCc47DDEf193674b1,0.16
Other,0.69
