provider,eth
​0xcfB586d08633fC36953be8083B63a7d96D50265B,1.23
​0x6b6C16B5C7Dfca8AB0c724Df96DeaF70341552A1,0.62
​0x3F86f18322a888d9b3adef38f127c941bCcc014D,0.46
​0xeEADC5701b5FD25fbcC7FBf04B048CDb1ffF1c65,0.45
​0xBb60F9F245505F3d132974169BE1c01Aa68F66f7,0.37
​0xa15b5D913A8e1D490589B0103C809C8d868A9298,0.34
​0xDDfC2e10702d8A781727A34D83B3bb3CA94a3E91,0.19
​0xBc23e50c2287F481288F29feCD5Ca6FF00c72083,0.18
​0x990173EBbD25B0a5Acd04f3Fe7A15D3EF8139028,0.17
​0x4f0A954DE3430C5486D601813Bdb5efCF598BFdd,0.17
​0xe9822F18F2654e606a8dFF9d75EDd98367E7c0aE,0.17
​0x88d0472CD1726ccfCa47622392a3371A1B9883bb,0.09
​0x303b0678f141b882a2F26eB76A6b15777A67c10c,0.09
​0xf521Bb7437bEc77b0B15286dC3f49A87b9946773,0.07
​0x4d0f9C71aa14efC5D22fEF3635f14CB69e218e44,0.07
​0xC2e3763CA17f2c3E28e002DBD36FeE7DEC7EF1d7,0.06
​0x72B786Ff9ef6D56A2B2dDDcfFF9bf78f353B145b,0.06
Other,0.24
