provider,eth
​0x44281eF600C0F95b0D6fbAB545F3f837b1BCa4d1,125.49
​0x0006e4548AED4502ec8c844567840Ce6eF1013f5,63.22
​0xB9ed3a2B35396E960AF7A812d330726678795d29,44.29
​0xF6a15689E5EAFc0F0380202cbc54FE2CAfD89A5F,30.67
​0x202F0241EfD14eC8D82F1165F217AB6CC29fAd23,30.38
​0x38885D2397cae1083c52da70E91dfbF9D1963cA3,27.88
​0xBAcE5a7E2FC96055d463166a9f6AD781C0f35BE8,23.63
​0x97a8B6076eD6164dF582E598DFB363ffA770dD54,15.22
​0xD2925983502B2f849c96dbE449179E8B09D8C6a7,8.75
​0x4f3a36C91c392781536348C03DFB8F6e265c277D,5.89
​0x2b11b02F5B32056af20cDf8a45D4F680B303B3a3,5.67
​0xE7d0aE1823582E5e6c3a0F9Bb0526d380b16edF4,5.33
​0x518e5A942Ed7Db4B45e9A491ce318373346dB240,4.58
​0x4F50d47D20380172746527bbeAa274940C38EFAC,4.42
Other,27.24
